URL,Poet Name,Birth Year,Death Year,Extra Info
/wiki/Tam%C3%A1s_Acz%C3%A9l,Tamás Aczél,1921,1994,"Tamás Aczél (1921–1994), Hungarian poet"
/wiki/Gilbert_Adair,Gilbert Adair,1944,2011,"Gilbert Adair (1944–2011), Scottish novelist, poet and critic"
/wiki/Virginia_Hamilton_Adair,Virginia Hamilton Adair,1919,2004,"Virginia Hamilton Adair (1919–2004), American poet"
/wiki/Helen_Adam,Helen Adam,1909,1993,"Helen Adam (1909–1993), Scottish-American poet, collagist and photographer"
/wiki/Draginja_Adamovi%C4%87,Draginja Adamović,1925,2000,"Draginja Adamović (1925–2000), Serbian poet"
/wiki/John_Adams_(poet),John Adams,1704,1740,"John Adams (1704–1740), American poet"
/wiki/L%C3%A9onie_Adams,Léonie Adams,1899,1988,"Léonie Adams (1899–1988), American poet"
/wiki/Ryan_Adams,Ryan Adams,1974,unknown,"Ryan Adams (born 1974), American singer-songwriter and writer"
/wiki/Hendrik_Adamson,Hendrik Adamson,1891,1946,"Hendrik Adamson (1891–1946), Estonian poet"
/wiki/Fleur_Adcock,Fleur Adcock,1934,unknown,"Fleur Adcock (born 1934), poet and New Zealand native who has spent most of life in England"
/wiki/Joseph_Addison,Joseph Addison,1672,1719,"Joseph Addison (1672–1719), English essayist, poet, writer and politician"
/wiki/Kim_Addonizio,Kim Addonizio,1954,unknown,"Kim Addonizio (born 1954) American poet, novelist"
/wiki/Artur_Adson,Artur Adson,1889,1977,"Artur Adson (1889–1977), Estonian poet"
/wiki/Endre_Ady,Endre Ady,1877,1919,"Endre Ady (1877–1919), Hungarian poet"
/wiki/Mariska_Ady,Mariska Ady,1888,1977,"Mariska Ady (1888–1977), Hungarian poet"
/wiki/Aeschylus,Aeschylus,525 BC,456 BC,"Aeschylus (525–456 BC), Athenian tragedian"
/wiki/Lucius_Afranius_(poet),Lucius Afranius,94 BC, BC,"Lucius Afranius (fl. c. 94 BC), Roman comic poet"
/wiki/John_Agard,John Agard,1949,unknown,"John Agard (born 1949), Afro-Guyanese poet and children's writer"
/wiki/James_Agee,James Agee,1909,1955,"James Agee (1909–1955), American novelist, screenwriter and poet"
/wiki/Deborah_Ager,Deborah Ager,1977,unknown,"Deborah Ager (born 1977), American poet, editor"
/wiki/Istv%C3%A1n_%C3%81gh_(poet),István Ágh,1938,unknown,"István Ágh (born 1938), Hungarian poet"
